GP_CODE,GP_NAME,SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_NAME,ICB_CODE,ICB_NAME,Model_Type,Validation_MAPE,Validation_RMSE,Avg_Monthly_Forecast
E83621,BRUNSWICK PARK MEDICAL PRACTICE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,5.347107597654283,200.48965286757348,2827.071466278814
E83622,TEMPLE FORTUNE MEDICAL GROUP,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,12.699799135084527,388.3501709855517,3041.8122803881156
E83637,COLINDALE MEDICAL CENTRE LP,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,11.200512780445566,541.9193253391272,2441.232668099541
E83638,THE MOUNTFIELD SURGERY,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,11.912835747457768,185.63895800792383,1551.291144843289
E83639,ROSEMARY SURGERY,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,16.757946245183987,541.6095464899046,2549.257259828893
E83653,THE PHOENIX PRACTICE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,12.466608389027273,398.2675870654897,3412.9899777519945
E83668,DR SP TALPAHEWA,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,10.96982267213763,229.18118429466602,1403.2611473366844
E84002,FORTY WILLOWS SURGERY,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,5.827171110387358,245.55613408156472,3804.8172107624596
E84003,PREMIER MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,10.508857015406743,815.2036856852641,5047.967190254199
E84004,THE CIRCLE PRACTICE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,11.512453091495399,369.6568316766385,2263.138847152589
E84005,KINGS ROAD SURGERY,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,14.673957948996666,516.7430944863564,2435.316210862814
E84006,THE LAW MEDICAL GROUP PRACTICE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,7.059725191892601,840.3884180140146,7899.052163536307
E84007,UXENDON CRESCENT SURGERY,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,10.39658332123629,281.55666426236223,2015.8624015400628
E84008,SIMPSON HOUSE MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,14.058256656185971,760.0165476638226,5155.433338500976
E84009,ENDERLEY ROAD MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,7.836873337580795,619.0670576530699,6671.569341106086
E84012,MAPESBURY MEDICAL GROUP,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,10.398027690807126,391.58880207111514,2899.742936051462
E84013,CHURCH END MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,10.812896317248262,662.8629422357735,7151.3443091182135
E84014,BACON LANE SURGERY,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,9.729729500004007,488.37557962722343,4780.656304865326
E84015,WILLOW TREE FAMILY DOCTORS,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,6.205918164140053,599.06051442617,8083.767632537804
E84017,SUDBURY & ALPERTON MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,17.928238569424963,616.1380756319237,3252.42869607461
E84018,STREATFIELD HEALTH CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,6.923370264732617,284.3216441624018,3090.911144037312
E84020,JAI MEDICAL CENTRE (BRENT),W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,4.271221803755611,280.29764598970525,5432.1145224159345
E84021,THE WILLESDEN MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,7.780610610864894,584.7967574449979,5856.868432082406
E84022,ROXBOURNE MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,20.831862136563306,480.5796073155376,2994.263630545521
E84024,THE PINN MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,21.73572181323831,2238.1717372564754,11702.456701679737
E84025,THE LONSDALE MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,5.98739512069807,780.9214883474307,12607.034704104286
E84030,PRESTON HILL SURGERY,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,7.951363949100597,208.93437730010126,1881.6727942284742
E84031,BRENTFIELD MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,11.073840489310333,766.199746537293,5174.75310100798
E84033,CHALKHILL FAMILY PRACTICE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,14.315007681288167,532.3179107471889,2450.0973492655967
E84036,GLADSTONE MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,6.590170573786515,325.28244182891314,4438.662376178255
E84039,HONEYPOT MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,16.744775921714545,1962.7790461950167,13702.602092994874
E84040,THE PINNER ROAD SURGERY,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,5.718658798897342,119.26931615741753,1635.7056823295698
E84042,KILBURN PARK MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,12.146522179572445,506.75647677560676,2452.3401560253833
E84044,THE NORTHWICK SURGERY,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,10.156146777134456,372.6133723591595,2869.084741670795
E84048,THE FRYENT WAY SURGERY,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,13.782474487521426,488.304665026814,3191.8772460071523
E84049,BRAMPTON HEALTH CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,8.705282981507917,403.55113686466154,3528.3331191057227
E84051,STANLEY CORNER MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,14.786313957546835,529.5625496422582,2744.1555960483784
E84053,HATCH END MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,7.3712824960267165,176.61864932364279,2227.672007966649
E84057,THE STANMORE MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,6.523283874953243,283.63647252177884,3614.20584074633
E84058,GP DIRECT,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,8.689493943261713,924.9525830212156,10301.864878209191
E84059,THE ALLENDALE ROAD SURGERY,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,9.164644068646455,246.82115317528144,1773.1458498814766
E84061,ELLIOTT HALL MEDICAL CTR.,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,6.916968215412559,613.7296565965667,7023.689691141462
E84062,THE SHAFTESBURY MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,7.363111983887453,167.4792853066949,2308.370765874152
E84063,LANCELOT MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,21.36655116941793,710.832168912344,2253.2088830803204
E84066,GP PATHFINDER CLINICS,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,15.317939092165034,1950.7424006756933,13317.04680512376
E84067,CHURCH LANE SURGERY,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,6.751379462453268,395.9303382307537,5446.2242080721835
E84068,THE RIDGEWAY SURGERY,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,16.10541500664617,1437.333593207055,9848.754336466453
E84069,BELMONT HEALTH CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,5.59171688338826,702.9465293837285,11764.071414395507
E84070,PINNER VIEW MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,11.58414959217484,283.11138705642884,1825.2893050633593
E84074,FREUCHEN MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,5.294717447713725,252.6735441450024,4783.305168207273
E84075,MOLLISON WAY SURGERY,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,9.105534290503712,531.5093579214362,5351.5624638199215
E84076,OXGATE GARDENS SURGERY,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,8.996917394167934,327.23651801572186,3144.275196282392
E84078,KINGSBURY HEALTH AND WELLBEING,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,21.20752280516738,871.755869929171,2455.8493105170464
E84080,STAVERTON SURGERY,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,6.97488985864677,297.4856090135779,3150.3836460343387
E84083,LANFRANC MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,7.393373068509286,170.98588821742473,1798.997311378517
E84086,WALM LANE SURGERY,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,5.815717155467804,176.7785502947315,2474.2505043720307
E84601,KENTON BRIDGE MEDICAL CENTRE DR GOLDEN,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,3.6146087907201023,171.40395490087977,3165.6966895912515
E84617,THE CIVIC MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,11.450867897668516,230.53991673876618,2087.247329475553
E84620,PRESTON ROAD SURGERY,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,10.968400895271014,265.05499572169134,2495.1868753412027
E84626,THE SUNFLOWER MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,13.021335030942824,251.68031408719736,1713.5243583531767
E84635,THE SURGERY,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,8.714472138307054,234.99796422611846,2109.435442591748
E84637,HILLTOP MEDICAL PRACTICE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,8.4338610784385,162.8612115715816,1914.7101225523
E84638,ALPERTON MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,16.32228370847298,934.0983417691001,2690.607200490451
E84645,PARK ROYAL MEDICAL PRACTICE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,13.824391323709884,860.3310916951049,4234.867236798136
E84646,THE STREATFIELD MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,5.970170126785048,117.10832317405031,1784.7736608849839
E84647,KENTON CLINIC,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,13.773605165777965,262.68629552992905,1484.8514807033664
