SUB_ICB_CODE,SUB_ICB_NAME,ICB_CODE,REGION_CODE,REGION_NAME,Month,Forecast_Appointments,GP_Appointments,Required_GP_FTE,Required_Staff_FTE,Total_FTE
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2026-12,114128.13072327303,52804.32402679399,100.57966481294093,97.33937570869689,197.91904052163784
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2027-01,132003.9945914353,61075.05361792375,116.3334354627119,112.5856205928755,228.91905605558742
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2026-02,186187.14299492378,86144.28507696696,164.08435252755612,158.79818717136004,322.88253969891616
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2026-03,187997.42152982316,86981.85714381658,165.67972789298398,160.34216569207393,326.0218935850579
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2026-04,182533.3377355572,84453.75781060691,160.8643005916322,155.6818728967465,316.5461734883787
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2026-05,180923.22782779482,83708.79892317549,159.44533128223904,154.30861730891957,313.75394859115863
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2026-06,178531.74484770515,82602.31762548903,157.33774785807435,152.26893209875578,309.60667995683013
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2026-07,187910.80616675917,86941.78231153866,165.60339487912125,160.26829183368338,325.8716867128046
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2026-08,169353.8373477657,78355.92194334263,149.24937513017645,144.4411355625763,293.69051069275275
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2026-09,187279.223916758,86649.56448962848,165.04678950405426,159.72961813830082,324.7764076423551
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2026-10,222005.43778326106,102716.5432231779,195.65055852033885,189.3474516826717,384.99801020301055
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2026-11,188859.0164830732,87380.49627689396,166.43904052741706,161.07701620028456,327.51605672770165
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2026-12,172378.76256797672,79755.48163535354,151.91520311495913,147.02108084543363,298.93628396039276
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2027-01,199893.11992377072,92485.70889831596,176.16325504441136,170.48795400865836,346.6512090530697
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2026-02,123588.8443146138,57181.567243132595,108.91727093930018,105.40837630393843,214.32564724323862
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2026-03,122724.01389046363,56781.43113597262,108.15510692566214,104.67076627696986,212.825873202632
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2026-04,124538.69645557286,57621.040841016715,109.75436350669851,106.21850097548595,215.97286448218446
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2026-05,121269.33548161935,56108.38664143302,106.87311741225336,103.43007752410529,210.30319493635864
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2026-06,119061.58522305671,55086.91402741073,104.92745529030614,101.54709713594602,206.47455242625216
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2026-07,129888.26620062375,60096.15729505321,114.4688710381966,110.78112524693738,225.249996285134
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2026-08,114971.92284096178,53194.72621871043,101.32328803563891,98.05904225754183,199.38233029318076
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2026-09,126669.51700988357,58606.919942687055,111.63222846226105,108.0358683606294,219.66809682289045
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2026-10,152217.5612031603,70427.38169285518,134.14739370067653,129.82568176238905,263.9730754630656
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2026-11,122683.44867875929,56762.66259425134,108.11935732238351,104.63616838810786,212.75552571049138
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2026-12,111739.38590098725,51699.10960845618,98.47449449229748,95.30202586116044,193.77652035345793
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2027-01,130249.32031332001,60263.20829498808,114.78706341902492,111.08906669576498,225.8761301147899
02Q,NHS Nottingham and Nottinghamshire ICB - 02Q,E54000060,E40000011,Midlands,2026-02,102315.49481107594,47338.90327237344,90.1693395664256,87.2644310138135,177.43377058023913
