SUB_ICB_CODE,SUB_ICB_NAME,ICB_CODE,REGION_CODE,REGION_NAME,Month,Appointments
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2025-07,60560
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2025-08,50842
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2025-09,60635
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2025-10,83410
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2025-11,64768
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2025-12,64225
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2026-01,68860
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2023-08,117925
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2023-09,127942
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2023-10,150561
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2023-11,135655
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2023-12,108922
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2024-01,137526
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2024-02,130806
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2024-03,123081
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2024-04,126216
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2024-05,124968
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2024-06,116458
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2024-07,126053
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2024-08,110278
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2024-09,123886
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2024-10,165607
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2024-11,129779
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2024-12,113214
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2025-01,131665
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2025-02,118071
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2025-03,124548
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2025-04,118309
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2025-05,114662
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2025-06,124625
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2025-07,131000
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2025-08,110147
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2025-09,130984
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2025-10,163664
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2025-11,125575
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2025-12,125825
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2026-01,132017
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2023-08,166620
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2023-09,179849
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2023-10,191360
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2023-11,181160
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2023-12,149523
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2024-01,189567
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2024-02,178853
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2024-03,168737
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2024-04,175256
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2024-05,172015
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2024-06,161516
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2024-07,170415
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2024-08,160056
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2024-09,172265
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2024-10,216885
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2024-11,181336
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2024-12,166648
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2025-01,192502
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2025-02,178842
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2025-03,192147
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2025-04,175479
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2025-05,175611
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2025-06,181324
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2025-07,190479
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2025-08,155457
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2025-09,180749
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2025-10,222670
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2025-11,175175
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2025-12,173827
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2026-01,187042
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2023-08,120815
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2023-09,133122
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2023-10,143193
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2023-11,126751
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2023-12,103333
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2024-01,129994
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2024-02,125300
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2024-03,120793
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2024-04,129727
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2024-05,125449
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2024-06,117324
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2024-07,129448
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2024-08,116125
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2024-09,118545
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2024-10,155919
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2024-11,121394
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2024-12,110991
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2025-01,130337
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2025-02,121671
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2025-03,125646
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2025-04,117079
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2025-05,115335
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2025-06,121648
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2025-07,130685
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2025-08,108173
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2025-09,127311
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2025-10,157860
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2025-11,119642
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2025-12,120620
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2026-01,130115
02Q,NHS Nottingham and Nottinghamshire ICB - 02Q,E54000060,E40000011,Midlands,2023-08,68808
02Q,NHS Nottingham and Nottinghamshire ICB - 02Q,E54000060,E40000011,Midlands,2023-09,67676
02Q,NHS Nottingham and Nottinghamshire ICB - 02Q,E54000060,E40000011,Midlands,2023-10,73993
02Q,NHS Nottingham and Nottinghamshire ICB - 02Q,E54000060,E40000011,Midlands,2023-11,72909
02Q,NHS Nottingham and Nottinghamshire ICB - 02Q,E54000060,E40000011,Midlands,2023-12,62392
02Q,NHS Nottingham and Nottinghamshire ICB - 02Q,E54000060,E40000011,Midlands,2024-01,77049
02Q,NHS Nottingham and Nottinghamshire ICB - 02Q,E54000060,E40000011,Midlands,2024-02,72153
02Q,NHS Nottingham and Nottinghamshire ICB - 02Q,E54000060,E40000011,Midlands,2024-03,71115
02Q,NHS Nottingham and Nottinghamshire ICB - 02Q,E54000060,E40000011,Midlands,2024-04,79640
02Q,NHS Nottingham and Nottinghamshire ICB - 02Q,E54000060,E40000011,Midlands,2024-05,79194
02Q,NHS Nottingham and Nottinghamshire ICB - 02Q,E54000060,E40000011,Midlands,2024-06,75375
02Q,NHS Nottingham and Nottinghamshire ICB - 02Q,E54000060,E40000011,Midlands,2024-07,81981
02Q,NHS Nottingham and Nottinghamshire ICB - 02Q,E54000060,E40000011,Midlands,2024-08,72082
02Q,NHS Nottingham and Nottinghamshire ICB - 02Q,E54000060,E40000011,Midlands,2024-09,82297
02Q,NHS Nottingham and Nottinghamshire ICB - 02Q,E54000060,E40000011,Midlands,2024-10,103138
02Q,NHS Nottingham and Nottinghamshire ICB - 02Q,E54000060,E40000011,Midlands,2024-11,89336
02Q,NHS Nottingham and Nottinghamshire ICB - 02Q,E54000060,E40000011,Midlands,2024-12,84167
02Q,NHS Nottingham and Nottinghamshire ICB - 02Q,E54000060,E40000011,Midlands,2025-01,96031
02Q,NHS Nottingham and Nottinghamshire ICB - 02Q,E54000060,E40000011,Midlands,2025-02,86478
02Q,NHS Nottingham and Nottinghamshire ICB - 02Q,E54000060,E40000011,Midlands,2025-03,89894
02Q,NHS Nottingham and Nottinghamshire ICB - 02Q,E54000060,E40000011,Midlands,2025-04,88460
02Q,NHS Nottingham and Nottinghamshire ICB - 02Q,E54000060,E40000011,Midlands,2025-05,86759
02Q,NHS Nottingham and Nottinghamshire ICB - 02Q,E54000060,E40000011,Midlands,2025-06,97072
02Q,NHS Nottingham and Nottinghamshire ICB - 02Q,E54000060,E40000011,Midlands,2025-07,104792
02Q,NHS Nottingham and Nottinghamshire ICB - 02Q,E54000060,E40000011,Midlands,2025-08,85108
02Q,NHS Nottingham and Nottinghamshire ICB - 02Q,E54000060,E40000011,Midlands,2025-09,103565
02Q,NHS Nottingham and Nottinghamshire ICB - 02Q,E54000060,E40000011,Midlands,2025-10,123895
02Q,NHS Nottingham and Nottinghamshire ICB - 02Q,E54000060,E40000011,Midlands,2025-11,102794
02Q,NHS Nottingham and Nottinghamshire ICB - 02Q,E54000060,E40000011,Midlands,2025-12,101300
02Q,NHS Nottingham and Nottinghamshire ICB - 02Q,E54000060,E40000011,Midlands,2026-01,97612
02T,NHS West Yorkshire ICB - 02T,E54000054,E40000012,North East and Yorkshire,2023-08,105305
02T,NHS West Yorkshire ICB - 02T,E54000054,E40000012,North East and Yorkshire,2023-09,109984
02T,NHS West Yorkshire ICB - 02T,E54000054,E40000012,North East and Yorkshire,2023-10,122806
02T,NHS West Yorkshire ICB - 02T,E54000054,E40000012,North East and Yorkshire,2023-11,114994
02T,NHS West Yorkshire ICB - 02T,E54000054,E40000012,North East and Yorkshire,2023-12,95115
02T,NHS West Yorkshire ICB - 02T,E54000054,E40000012,North East and Yorkshire,2024-01,120672
02T,NHS West Yorkshire ICB - 02T,E54000054,E40000012,North East and Yorkshire,2024-02,109021
02T,NHS West Yorkshire ICB - 02T,E54000054,E40000012,North East and Yorkshire,2024-03,104313
02T,NHS West Yorkshire ICB - 02T,E54000054,E40000012,North East and Yorkshire,2024-04,107632
02T,NHS West Yorkshire ICB - 02T,E54000054,E40000012,North East and Yorkshire,2024-05,108571
02T,NHS West Yorkshire ICB - 02T,E54000054,E40000012,North East and Yorkshire,2024-06,100040
02T,NHS West Yorkshire ICB - 02T,E54000054,E40000012,North East and Yorkshire,2024-07,114775
02T,NHS West Yorkshire ICB - 02T,E54000054,E40000012,North East and Yorkshire,2024-08,98620
02T,NHS West Yorkshire ICB - 02T,E54000054,E40000012,North East and Yorkshire,2024-09,112025
02T,NHS West Yorkshire ICB - 02T,E54000054,E40000012,North East and Yorkshire,2024-10,131822
02T,NHS West Yorkshire ICB - 02T,E54000054,E40000012,North East and Yorkshire,2024-11,110264
02T,NHS West Yorkshire ICB - 02T,E54000054,E40000012,North East and Yorkshire,2024-12,100633
02T,NHS West Yorkshire ICB - 02T,E54000054,E40000012,North East and Yorkshire,2025-01,115772
02T,NHS West Yorkshire ICB - 02T,E54000054,E40000012,North East and Yorkshire,2025-02,101953
02T,NHS West Yorkshire ICB - 02T,E54000054,E40000012,North East and Yorkshire,2025-03,108793
02T,NHS West Yorkshire ICB - 02T,E54000054,E40000012,North East and Yorkshire,2025-04,103930
02T,NHS West Yorkshire ICB - 02T,E54000054,E40000012,North East and Yorkshire,2025-05,102647
02T,NHS West Yorkshire ICB - 02T,E54000054,E40000012,North East and Yorkshire,2025-06,107227
02T,NHS West Yorkshire ICB - 02T,E54000054,E40000012,North East and Yorkshire,2025-07,116357
02T,NHS West Yorkshire ICB - 02T,E54000054,E40000012,North East and Yorkshire,2025-08,95404
02T,NHS West Yorkshire ICB - 02T,E54000054,E40000012,North East and Yorkshire,2025-09,115556
02T,NHS West Yorkshire ICB - 02T,E54000054,E40000012,North East and Yorkshire,2025-10,134159
02T,NHS West Yorkshire ICB - 02T,E54000054,E40000012,North East and Yorkshire,2025-11,108741
02T,NHS West Yorkshire ICB - 02T,E54000054,E40000012,North East and Yorkshire,2025-12,104803
02T,NHS West Yorkshire ICB - 02T,E54000054,E40000012,North East and Yorkshire,2026-01,112725
02X,NHS South Yorkshire ICB - 02X,E54000061,E40000012,North East and Yorkshire,2023-08,148841
02X,NHS South Yorkshire ICB - 02X,E54000061,E40000012,North East and Yorkshire,2023-09,160161
02X,NHS South Yorkshire ICB - 02X,E54000061,E40000012,North East and Yorkshire,2023-10,178616
02X,NHS South Yorkshire ICB - 02X,E54000061,E40000012,North East and Yorkshire,2023-11,165966
02X,NHS South Yorkshire ICB - 02X,E54000061,E40000012,North East and Yorkshire,2023-12,139376
02X,NHS South Yorkshire ICB - 02X,E54000061,E40000012,North East and Yorkshire,2024-01,172229
02X,NHS South Yorkshire ICB - 02X,E54000061,E40000012,North East and Yorkshire,2024-02,160025
02X,NHS South Yorkshire ICB - 02X,E54000061,E40000012,North East and Yorkshire,2024-03,150703
02X,NHS South Yorkshire ICB - 02X,E54000061,E40000012,North East and Yorkshire,2024-04,161497
02X,NHS South Yorkshire ICB - 02X,E54000061,E40000012,North East and Yorkshire,2024-05,163074
02X,NHS South Yorkshire ICB - 02X,E54000061,E40000012,North East and Yorkshire,2024-06,149218
02X,NHS South Yorkshire ICB - 02X,E54000061,E40000012,North East and Yorkshire,2024-07,168838
02X,NHS South Yorkshire ICB - 02X,E54000061,E40000012,North East and Yorkshire,2024-08,146943
