GP_CODE,Order,Seasonal_Order,MSE,RMSE,MAPE,Runtime_Seconds,Status
E83003,"(0, 0, 0)","(0, 0, 0, 12)",118103.42733564012,343.6617920800043,10.618017104939224,0.22973299026489258,Success
E83006,"(0, 0, 0)","(0, 0, 1, 12)",49405.6683665832,222.2738589366352,9.979085213043888,0.46044397354125977,Success
E83007,"(0, 1, 1)","(0, 0, 0, 12)",73152.85105758517,270.46783738105563,10.489240722589026,0.49184203147888184,Success
E83008,"(1, 0, 0)","(0, 0, 0, 12)",133341.21705843983,365.15916674573543,12.876322369629655,0.2396068572998047,Success
E83009,"(0, 1, 0)","(0, 1, 0, 12)",728895.5,853.7537701234472,19.61308849212823,0.3427300453186035,Success
E83010,"(0, 0, 0)","(0, 0, 0, 12)",895336.1845444058,946.2220587919127,12.929124572792947,0.2176048755645752,Success
E83011,"(1, 0, 0)","(0, 0, 0, 12)",499784.51116817375,706.9543911513484,11.32860150227007,0.22008299827575684,Success
E83012,"(0, 1, 1)","(0, 0, 0, 12)",175105.79508183544,418.45644347032754,9.564667052881951,0.4694371223449707,Success
E83016,"(0, 0, 0)","(0, 1, 1, 12)",1012252.7082893307,1006.1077021319987,7.104940930342895,0.7609288692474365,Success
E83017,"(1, 0, 0)","(0, 0, 0, 12)",1677775.674161575,1295.289803156643,12.421031761742391,0.1785728931427002,Success
E83020,"(0, 0, 0)","(0, 0, 0, 12)",176637.68829296425,420.2828669990775,12.030542723379034,0.2299332618713379,Success
E83021,"(1, 0, 0)","(0, 0, 0, 12)",1281007.3999417194,1131.8159744153284,24.32296074312796,0.2345893383026123,Success
E83024,"(0, 1, 0)","(0, 0, 0, 12)",2437317.3333333335,1561.1909983513656,25.334998218581422,0.29573893547058105,Success
E83025,"(0, 0, 0)","(0, 0, 0, 12)",100393.43223760102,316.8492263484338,13.713320702129625,0.23910999298095703,Success
E83026,"(0, 0, 0)","(1, 1, 0, 12)",20709.558950028862,143.90816151292069,7.359305922389074,1.1949996948242188,Success
E83027,"(5, 1, 1)","(1, 1, 0, 12)",86453.41390688422,294.02961399642084,5.790943523312914,9.59696102142334,Success
E83028,"(0, 0, 0)","(1, 1, 0, 12)",38780.975194961575,196.92885820763186,8.789051602997967,1.1868579387664795,Success
E83030,"(3, 0, 0)","(1, 1, 0, 12)",41397.02048664203,203.46257760738715,8.328148643372362,4.267518997192383,Success
E83031,"(0, 1, 1)","(0, 0, 0, 12)",293789.6959443186,542.0237042273322,14.136849753354127,0.48596787452697754,Success
E83032,"(0, 0, 0)","(0, 0, 0, 12)",343390.6260092278,585.9954146657018,10.552502743228896,0.2017810344696045,Success
E83034,"(0, 1, 0)","(0, 1, 0, 12)",237729.0,487.57460967527834,26.018603632254678,0.3001070022583008,Success
E83035,"(0, 1, 0)","(1, 1, 0, 12)",156654.2673400648,395.79573941626103,6.796992920175923,0.7652969360351562,Success
E83038,"(1, 0, 0)","(0, 0, 0, 12)",345261.2482909008,587.5893534526479,6.213124646105072,0.2626209259033203,Success
E83039,"(0, 0, 0)","(0, 0, 0, 12)",50234.140138408286,224.12973952246563,8.33748157675267,0.29054999351501465,Success
E83041,"(1, 0, 0)","(0, 0, 0, 12)",17024.42681410195,130.4776870353776,7.151503907736116,0.3491630554199219,Success
E83044,"(0, 0, 0)","(1, 1, 0, 12)",198271.31652253514,445.2766741280472,12.158281588476864,1.3283600807189941,Success
E83045,"(1, 0, 0)","(0, 0, 0, 12)",149253.17097420082,386.3329794027438,12.79778422834698,0.2507302761077881,Success
E83046,"(0, 0, 0)","(0, 0, 0, 12)",176949.62168396777,420.65380265007445,17.114437012894676,0.2216782569885254,Success
E83049,"(0, 1, 1)","(0, 0, 0, 12)",86850.04964539142,294.70332479527855,11.642118738341521,0.4860658645629883,Success
E83050,"(3, 1, 1)","(2, 0, 0, 12)",175764.7515120978,419.24306972459044,13.618591018600895,4.27623987197876,Success
E83053,"(0, 1, 0)","(1, 1, 0, 12)",779043.0900872527,882.6341768180364,18.70840230476649,1.2287027835845947,Success
E83613,"(1, 0, 0)","(0, 0, 0, 12)",656361.1170539039,810.1611673327128,18.865790513360235,0.21934103965759277,Success
