ICB_CODE,Month,Forecast_Appointments,Num_Sub_ICBs
E54000044,2026-08,778386.2794840834,3
E54000044,2026-09,862626.765258187,3
E54000044,2026-10,1038827.8213406551,3
E54000044,2026-11,889858.5595649973,3
E54000044,2026-12,795582.7052869786,3
E54000044,2027-01,923498.7612850249,3
E54000050,2026-02,1593219.8707690171,8
E54000050,2026-03,1597177.2013967505,8
E54000050,2026-04,1583575.303381048,8
E54000050,2026-05,1559885.6932287363,8
E54000050,2026-06,1544145.7032131578,8
E54000050,2026-07,1674894.3694372757,8
E54000050,2026-08,1465485.7885396047,8
E54000050,2026-09,1648434.3630628763,8
E54000050,2026-10,1991714.4904899807,8
E54000050,2026-11,1653041.871656922,8
E54000050,2026-12,1500396.6200761157,8
E54000050,2027-01,1743483.9981223603,8
E54000051,2026-02,865765.3273784918,6
E54000051,2026-03,880093.933044443,6
E54000051,2026-04,871992.9511025221,6
E54000051,2026-05,860063.1066961463,6
E54000051,2026-06,858613.6710377601,6
E54000051,2026-07,929566.7438867954,6
E54000051,2026-08,816091.4404400213,6
E54000051,2026-09,915398.7367946104,6
E54000051,2026-10,1100391.4556577979,6
E54000051,2026-11,913354.0334874153,6
E54000051,2026-12,830321.0143098908,6
E54000051,2027-01,962197.6997525182,6
E54000052,2026-02,505183.6955170803,1
E54000052,2026-03,500527.6858986603,1
E54000052,2026-04,487587.1064790513,1
E54000052,2026-05,488496.8319195204,1
E54000052,2026-06,485797.70164233714,1
E54000052,2026-07,511092.7790506158,1
E54000052,2026-08,455478.27064474585,1
E54000052,2026-09,514501.00124854856,1
E54000052,2026-10,617266.4679061178,1
E54000052,2026-11,520879.1717899713,1
E54000052,2026-12,474069.08830467623,1
E54000052,2027-01,549585.2410865431,1
E54000053,2026-02,895624.0606077329,3
E54000053,2026-03,912779.1128823772,3
E54000053,2026-04,881888.8914675799,3
E54000053,2026-05,890304.1514382877,3
E54000053,2026-06,879519.8189643403,3
E54000053,2026-07,934965.6942942014,3
E54000053,2026-08,845718.7507287259,3
E54000053,2026-09,928649.3988184058,3
E54000053,2026-10,1138908.020535112,3
E54000053,2026-11,947431.0284346156,3
E54000053,2026-12,842509.1348978451,3
E54000053,2027-01,992536.0039539466,3
E54000054,2026-02,1332626.7952088155,5
E54000054,2026-03,1345270.1188075303,5
E54000054,2026-04,1338010.5481535199,5
E54000054,2026-05,1334859.096113409,5
E54000054,2026-06,1316908.704227363,5
E54000054,2026-07,1450237.648922239,5
E54000054,2026-08,1263039.254053039,5
E54000054,2026-09,1399657.5448838028,5
