GP_CODE,Best_Model,Best_MAPE,Seasonal_Naive,MA_3,MA_6,MA_12,ARIMA,SARIMA,HW_m12_add,HW_m6_add,HW_m12_mul,Simple_ES
E83003,SARIMA,6.209581240878739,6.2239367550519535,10.490764019465193,10.598902940930612,10.568372842990296,10.970714405122383,6.209581240878739,7.271201178175459,8.239253297833994,7.063926927204152,10.646789223115015
E83005,MA_3,9.291972194900355,16.31961934403843,9.291972194900355,10.758683876669428,10.651867659634172,9.722728621693621,18.15810808969049,33.85201713654041,14.919906999266006,36.87343027723157,10.11521889251053
E83006,HW_m6_add,10.857009460365257,12.360866258097452,14.641862689887356,13.451277805062798,13.70683264145191,12.823058852137095,11.556944997598457,14.119037455776084,10.857009460365257,13.79508551316996,12.890382503004277
E83007,MA_3,9.291248515551004,10.055427696403774,9.291248515551004,9.4845538954511,9.497193010993284,12.002058790032256,10.866969661301669,17.207728859988304,9.546021685984673,9.744941262761394,10.071361430540154
E83008,HW_m12_mul,9.743330169102155,12.123510314879148,11.365293165814066,11.496097239471974,12.918331723870866,15.254496669813463,19.47906788562374,35.58500211995563,11.319070712116845,9.743330169102155,13.348422147706456
E83009,Seasonal_Naive,4.3835258961322845,4.3835258961322845,10.108631539667712,9.76272745924919,8.522987182618747,9.560639862960409,13.787176463726741,14.607804463376208,9.23494146774096,16.712020109777683,9.033029368542998
E83010,MA_3,10.877204572322992,12.818185933264695,10.877204572322992,13.233063130774472,13.630448290191207,12.200199546671769,13.117329113773144,13.478053036974305,11.958941471101054,13.378600380060282,12.579339530221944
E83011,Seasonal_Naive,4.602103880844022,4.602103880844022,10.433814918015415,11.589529826138325,10.428511871645552,14.740934628643945,12.125167570126907,13.197769833273378,9.570903000841307,8.609470294595127,10.4217329144947
E83012,Seasonal_Naive,5.034761970954319,5.034761970954319,9.190550630158382,8.715879030054495,9.449842605545523,9.527292642314945,11.43603825612628,12.767721491061131,13.74688390119104,17.33079030414598,9.650875090959888
E83013,MA_12,35.319508912361336,63.31768062650905,47.95159610208624,44.93215921685202,35.319508912361336,47.42525726685634,43.707572149909865,38.785708850843584,61.66595308450157,46.97474176197278,43.48512569105489
E83016,HW_m6_add,4.088819060212718,9.674955886262476,8.725491370462786,10.364994998067305,11.14203429251313,7.675699973033927,4.632974251945111,6.061369315015776,4.088819060212718,7.048307497203159,8.730706538236692
