GP_CODE,Month,Total_Appointments,Type
E83007,2026-09-01,2113.890303068288,Forecast
E83007,2026-10-01,2445.7737396005637,Forecast
E83007,2026-11-01,2031.444807061553,Forecast
E83007,2026-12-01,1957.5496483584732,Forecast
E83007,2027-01-01,2220.489149015812,Forecast
E83008,2022-10-01,2515.0,Historical
E83008,2022-11-01,2486.0,Historical
E83008,2022-12-01,1468.0,Historical
E83008,2023-01-01,2239.0,Historical
E83008,2023-02-01,2131.0,Historical
E83008,2023-03-01,2426.0,Historical
E83008,2023-04-01,1763.0,Historical
E83008,2023-05-01,2171.0,Historical
E83008,2023-06-01,2203.0,Historical
E83008,2023-07-01,2201.0,Historical
E83008,2023-08-01,1215.0,Historical
E83008,2023-09-01,1476.0,Historical
E83008,2023-10-01,1474.0,Historical
E83008,2023-11-01,1130.0,Historical
E83008,2023-12-01,902.0,Historical
E83008,2024-01-01,1098.0,Historical
E83008,2024-02-01,1077.0,Historical
E83008,2024-03-01,1039.0,Historical
E83008,2024-04-01,852.0,Historical
E83008,2024-05-01,1065.0,Historical
E83008,2024-06-01,882.0,Historical
E83008,2024-07-01,1046.0,Historical
E83008,2024-08-01,1745.0,Historical
E83008,2024-09-01,2011.0,Historical
E83008,2024-10-01,3028.0,Historical
E83008,2024-11-01,2366.0,Historical
E83008,2024-12-01,1477.0,Historical
E83008,2025-01-01,2094.0,Historical
E83008,2025-02-01,2141.0,Historical
E83008,2025-03-01,2089.0,Historical
E83008,2025-04-01,1796.0,Historical
E83008,2025-05-01,1857.0,Historical
E83008,2025-06-01,1984.0,Historical
E83008,2025-07-01,2095.0,Historical
E83008,2025-08-01,1561.0,Historical
E83008,2025-09-01,2058.0,Historical
E83008,2025-10-01,2644.0,Historical
E83008,2025-11-01,1991.0,Historical
E83008,2025-12-01,1796.0,Historical
E83008,2026-01-01,1947.0,Historical
E83008,2026-02-01,2074.347690696074,Forecast
E83008,2026-03-01,2201.3718488867326,Forecast
E83008,2026-04-01,1798.0409820161867,Forecast
E83008,2026-05-01,2117.9838168647984,Forecast
E83008,2026-06-01,2226.6496702255736,Forecast
E83008,2026-07-01,2390.7486831971964,Forecast
E83008,2026-08-01,1882.9306059336116,Forecast
E83008,2026-09-01,2436.3859897245397,Forecast
E83008,2026-10-01,3178.598167344483,Forecast
E83008,2026-11-01,2582.4308655250475,Forecast
E83008,2026-12-01,1793.313257019755,Forecast
E83008,2027-01-01,2359.3509447755446,Forecast
E83009,2022-10-01,4157.0,Historical
E83009,2022-11-01,4212.0,Historical
E83009,2022-12-01,3376.0,Historical
E83009,2023-01-01,3729.0,Historical
E83009,2023-02-01,3689.0,Historical
E83009,2023-03-01,3981.0,Historical
E83009,2023-04-01,2999.0,Historical
E83009,2023-05-01,3359.0,Historical
E83009,2023-06-01,2607.0,Historical
E83009,2023-07-01,2901.0,Historical
E83009,2023-08-01,3036.0,Historical
E83009,2023-09-01,3349.0,Historical
E83009,2023-10-01,3572.0,Historical
E83009,2023-11-01,3014.0,Historical
E83009,2023-12-01,2567.0,Historical
E83009,2024-01-01,3306.0,Historical
E83009,2024-02-01,2824.0,Historical
E83009,2024-03-01,3073.0,Historical
E83009,2024-04-01,2906.0,Historical
E83009,2024-05-01,3188.0,Historical
E83009,2024-06-01,2886.0,Historical
E83009,2024-07-01,3653.0,Historical
E83009,2024-08-01,3410.0,Historical
E83009,2024-09-01,4458.0,Historical
E83009,2024-10-01,5685.0,Historical
E83009,2024-11-01,4250.0,Historical
E83009,2024-12-01,3740.0,Historical
E83009,2025-01-01,4439.0,Historical
E83009,2025-02-01,4068.0,Historical
E83009,2025-03-01,4125.0,Historical
E83009,2025-04-01,3734.0,Historical
E83009,2025-05-01,3692.0,Historical
E83009,2025-06-01,3512.0,Historical
E83009,2025-07-01,4378.0,Historical
E83009,2025-08-01,3606.0,Historical
E83009,2025-09-01,4180.0,Historical
E83009,2025-10-01,5394.0,Historical
E83009,2025-11-01,4224.0,Historical
E83009,2025-12-01,3786.0,Historical
E83009,2026-01-01,4149.0,Historical
E83009,2026-02-01,3862.357850957861,Forecast
E83009,2026-03-01,4027.9370705965034,Forecast
E83009,2026-04-01,3434.002382264388,Forecast
E83009,2026-05-01,3620.0183698425417,Forecast
E83009,2026-06-01,3182.199536349378,Forecast
E83009,2026-07-01,3861.5548348571547,Forecast
E83009,2026-08-01,3483.349595184223,Forecast
E83009,2026-09-01,4151.610220605155,Forecast
E83009,2026-10-01,4994.6612262305325,Forecast
E83009,2026-11-01,4070.878519610851,Forecast
E83009,2026-12-01,3474.1775543772787,Forecast
E83009,2027-01-01,3960.646248179088,Forecast
E83010,2022-10-01,4805.0,Historical
E83010,2022-11-01,4970.0,Historical
E83010,2022-12-01,4243.0,Historical
E83010,2023-01-01,4666.0,Historical
E83010,2023-02-01,4625.0,Historical
E83010,2023-03-01,5012.0,Historical
E83010,2023-04-01,3651.0,Historical
E83010,2023-05-01,4637.0,Historical
E83010,2023-06-01,5118.0,Historical
E83010,2023-07-01,4575.0,Historical
E83010,2023-08-01,4728.0,Historical
E83010,2023-09-01,5030.0,Historical
E83010,2023-10-01,5205.0,Historical
E83010,2023-11-01,4277.0,Historical
E83010,2023-12-01,4177.0,Historical
E83010,2024-01-01,5231.0,Historical
E83010,2024-02-01,4758.0,Historical
E83010,2024-03-01,4780.0,Historical
E83010,2024-04-01,4798.0,Historical
E83010,2024-05-01,5145.0,Historical
E83010,2024-06-01,4635.0,Historical
E83010,2024-07-01,5551.0,Historical
E83010,2024-08-01,4424.0,Historical
E83010,2024-09-01,4786.0,Historical
E83010,2024-10-01,4906.0,Historical
E83010,2024-11-01,4606.0,Historical
E83010,2024-12-01,4198.0,Historical
E83010,2025-01-01,4831.0,Historical
E83010,2025-02-01,4364.0,Historical
E83010,2025-03-01,4785.0,Historical
E83010,2025-04-01,4315.0,Historical
E83010,2025-05-01,4536.0,Historical
E83010,2025-06-01,4922.0,Historical
E83010,2025-07-01,5248.0,Historical
E83010,2025-08-01,4188.0,Historical
E83010,2025-09-01,5183.0,Historical
E83010,2025-10-01,6766.0,Historical
E83010,2025-11-01,4950.0,Historical
E83010,2025-12-01,5184.0,Historical
E83010,2026-01-01,5377.0,Historical
E83010,2026-02-01,4876.78634795995,Forecast
E83010,2026-03-01,5170.96860241918,Forecast
E83010,2026-04-01,4537.101275280591,Forecast
E83010,2026-05-01,5078.860144026339,Forecast
E83010,2026-06-01,5203.589544394832,Forecast
E83010,2026-07-01,5460.670020239249,Forecast
E83010,2026-08-01,4724.560232148681,Forecast
E83010,2026-09-01,5319.977799432653,Forecast
E83010,2026-10-01,5879.975756705794,Forecast
E83010,2026-11-01,5078.034205963694,Forecast
E83010,2026-12-01,4818.104495377245,Forecast
E83010,2027-01-01,5433.840120605407,Forecast
E83011,2022-10-01,4990.0,Historical
E83011,2022-11-01,4628.0,Historical
E83011,2022-12-01,3938.0,Historical
E83011,2023-01-01,4493.0,Historical
E83011,2023-02-01,3760.0,Historical
E83011,2023-03-01,4526.0,Historical
E83011,2023-04-01,3457.0,Historical
E83011,2023-05-01,3627.0,Historical
E83011,2023-06-01,4093.0,Historical
E83011,2023-07-01,4075.0,Historical
E83011,2023-08-01,4177.0,Historical
E83011,2023-09-01,4821.0,Historical
E83011,2023-10-01,4539.0,Historical
E83011,2023-11-01,3623.0,Historical
E83011,2023-12-01,3161.0,Historical
