GP_CODE,Month,Total_Appointments,Type,GP_Appointments,Staff_Appointments,GP_FTE_Required,Staff_FTE_Required,Total_FTE_Required
E83003,2026-02-01,2333.449140321123,Forecast,1924.1444688799988,409.3046714411241,3.66503708358095,0.649689954668451,4.314727038249401
E83003,2026-03-01,2720.1965208481743,Forecast,2243.0534265410793,477.14309430709477,4.272482717221103,0.7573699909636425,5.0298527081847455
E83003,2026-04-01,2292.545912997917,Forecast,1890.4159777578582,402.1299352400589,3.6007923385863965,0.63830148450803,4.239093823094427
E83003,2026-05-01,2608.0997258009625,Forecast,2150.6192592638854,457.48046653707706,4.096417636693115,0.7261594706937731,4.822577107386888
E83003,2026-06-01,2564.1627070500717,Forecast,2114.389126732705,449.77358031736674,4.0274078604432475,0.7139263179640741,4.741334178407322
E83003,2026-07-01,2752.0067954525107,Forecast,2269.283937794076,482.72285765843486,4.32244559579824,0.7662267581879918,5.088672353986232
E83003,2026-08-01,2059.582240318817,Forecast,1698.3158995989775,361.26634071983966,3.234887427807576,0.5734386360632375,3.8083260638708136
E83003,2026-09-01,2791.570027066578,Forecast,2301.9074786143183,489.66254845225967,4.384585673551083,0.7772421404004122,5.161827813951495
E83003,2026-10-01,2978.1936792188358,Forecast,2455.7959271971463,522.3977520216893,4.677706527994564,0.8292027809868083,5.506909308981372
E83003,2026-11-01,2562.220489727603,Forecast,2112.7875890545033,449.4329006730994,4.024357312484768,0.7133855566239673,4.737742869108735
E83003,2026-12-01,2382.256097064942,Forecast,1964.3903153562417,417.8657817087003,3.7416958387737935,0.6632790185852385,4.404974857359032
E83003,2027-01-01,2699.177410801429,Forecast,2225.721227763582,473.45618303784636,4.239469005263966,0.7515177508537244,4.990986756117691
E83006,2026-02-01,2101.2058503929825,Forecast,1307.0384709273305,794.167379465652,2.4895970874806297,1.2605831420089713,3.750180229489601
E83006,2026-03-01,2190.1262524389936,Forecast,1362.3507033307978,827.7755491081957,2.594953720630091,1.3139294430288821,3.908883163658973
E83006,2026-04-01,1912.719886211409,Forecast,1189.792268529278,722.9276176821309,2.2662709876748153,1.1475041550510015,3.4137751427258167
E83006,2026-05-01,2109.1703252880325,Forecast,1311.9927095073433,797.1776157806893,2.4990337323949396,1.265361294889983,3.7643950272849227
E83006,2026-06-01,2203.49765020999,Forecast,1370.6682754970354,832.8293747129545,2.6107967152324485,1.3219513884332612,3.93274810366571
E83006,2026-07-01,2193.7881639618486,Forecast,1364.628566414326,829.1595975475226,2.5992925074558593,1.316126345313528,3.9154188527693874
E83006,2026-08-01,2057.0893046067563,Forecast,1279.5961227460516,777.4931818607048,2.437325948087717,1.2341161616836585,3.671442109771376
E83006,2026-09-01,2181.939151502947,Forecast,1357.2579819837786,824.6811695191684,2.585253299016721,1.3090177293955054,3.894271028412226
E83006,2026-10-01,2570.5271784068163,Forecast,1598.976088950838,971.5510894559785,3.045668740858739,1.5421445864380612,4.5878133272968
E83006,2026-11-01,2199.4280913305674,Forecast,1368.1368386013528,831.2912527292148,2.6059749306692432,1.3195099249670075,3.9254848556362507
E83006,2026-12-01,1805.3518469449095,Forecast,1123.0048293818454,682.3470175630642,2.139056817870182,1.0830905040683558,3.2221473219385377
E83006,2027-01-01,2200.8210165805804,Forecast,1369.0032967299328,831.8177198506477,2.6076253271046337,1.3203455870645202,3.927970914169154
E83007,2026-02-01,1856.7716015301698,Forecast,616.1831259050368,1240.588475625133,1.1736821445810226,1.9691880565478301,3.1428702011288525
E83007,2026-03-01,1846.8098400608474,Forecast,612.8772430939097,1233.9325969669376,1.1673852249407803,1.95862316978879,3.1260083947295705
E83007,2026-04-01,1779.2643793767065,Forecast,590.4617919577817,1188.8025874189248,1.1246891275386317,1.8869882339982933,3.011677361536925
E83007,2026-05-01,1814.6844054940195,Forecast,602.2161845791562,1212.4682209148632,1.1470784468174404,1.924552731610894,3.0716311784283343
E83007,2026-06-01,1909.5538265427128,Forecast,633.6992901837499,1275.8545363589628,1.2070462670166664,2.0251659307285124,3.232212197745179
E83007,2026-07-01,2017.160967199999,Forecast,669.4095004461575,1347.7514667538414,1.275065715135538,2.139288042466415,3.414353757601953
E83007,2026-08-01,1829.9960259467414,Forecast,607.2974569044409,1222.6985690423005,1.1567570607703637,1.9407913794322231,3.097548440202587
E83007,2026-09-01,2113.890303068288,Forecast,701.5098322763738,1412.3804707919144,1.3362092043359501,2.241873763161769,3.578082967497719
E83007,2026-10-01,2445.7737396005637,Forecast,811.6477583357952,1634.1259812647684,1.5459957301634193,2.593850763912331,4.1398464940757504
E83007,2026-11-01,2031.444807061553,Forecast,674.1496963262356,1357.2951107353174,1.2840946596690201,2.154436683706853,3.438531343375873
E83007,2026-12-01,1957.5496483584732,Forecast,649.6270518386806,1307.9225965197925,1.2373848606451059,2.07606761352348,3.313452474168586
E83007,2027-01-01,2220.489149015812,Forecast,736.8854326246794,1483.6037163911324,1.4035913002374847,2.3549265339541785,3.758517834191663
E83008,2026-02-01,2074.347690696074,Forecast,1101.2353456733597,973.1123450227144,2.0975911346159233,1.5446227698773245,3.642213904493248
E83008,2026-03-01,2201.3718488867326,Forecast,1168.6702763657247,1032.7015725210078,2.2260386216489993,1.639208845271441,3.86524746692044
E83008,2026-04-01,1798.0409820161867,Forecast,954.5488884271979,843.4920935889888,1.8181883589089483,1.338876339030141,3.1570646979390893
E83008,2026-05-01,2117.9838168647984,Forecast,1124.4010110537552,993.5828058110432,2.1417162115309623,1.5771155647794335,3.7188317763103957
E83008,2026-06-01,2226.6496702255736,Forecast,1182.089834930956,1044.5598352946176,2.2515996855827733,1.6580314845946311,3.9096311701774047
E83008,2026-07-01,2390.7486831971964,Forecast,1269.2071653982616,1121.5415177989348,2.417537457901451,1.7802246314268806,4.197762089328331
E83008,2026-08-01,1882.9306059336116,Forecast,999.6153229299969,883.3152830036147,1.9040291865333274,1.4020877507993883,3.3061169373327157
E83008,2026-09-01,2436.3859897245397,Forecast,1293.4352228520124,1142.9507668725273,2.463686138765738,1.8142075664643291,4.277893705230067
E83008,2026-10-01,3178.598167344483,Forecast,1687.4628430288417,1491.1353243156414,3.2142149391025554,2.3668814671676848,5.58109640627024
E83008,2026-11-01,2582.4308655250475,Forecast,1370.9679238583835,1211.462941666664,2.6113674740159687,1.9229570502645459,4.534324524280515
E83008,2026-12-01,1793.313257019755,Forecast,952.0390209184645,841.2742361012904,1.8134076588923134,1.3353559303195086,3.148763589211822
E83008,2027-01-01,2359.3509447755446,Forecast,1252.5386486017708,1106.8122961737738,2.385787902098611,1.7568449145615457,4.142632816660157
E83009,2026-02-01,3862.357850957861,Forecast,1761.9082994286243,2100.4495515292365,3.3560158084354748,3.3340469071892644,6.690062715624739
E83009,2026-03-01,4027.9370705965034,Forecast,1837.4412802014674,2190.4957903950362,3.4998881527647,3.476977445071486,6.976865597836186
E83009,2026-04-01,3434.002382264388,Forecast,1566.5035532812683,1867.4988289831197,2.9838162919643207,2.964283855528761,5.948100147493082
E83009,2026-05-01,3620.0183698425417,Forecast,1651.3592618891803,1968.6591079533614,3.145446213122248,3.1248557269100976,6.270301940032345
E83009,2026-06-01,3182.199536349378,Forecast,1451.637572148169,1730.5619642012089,2.7650239469488933,2.7469237527003316,5.511947699649225
E83009,2026-07-01,3861.5548348571547,Forecast,1761.5419841396208,2100.012850717534,3.3553180650278494,3.3333537312976733,6.688671796325522
E83009,2026-08-01,3483.349595184223,Forecast,1589.0144824473907,1894.3351127368321,3.0266942522807443,3.006881131328305,6.033575383609049
E83009,2026-09-01,4151.610220605155,Forecast,1893.857789967046,2257.7524306381083,3.607348171365802,3.583734016885886,7.191082188251688
E83009,2026-10-01,4994.6612262305325,Forecast,2278.4359727691985,2716.225253461334,4.339878043369902,4.311468656287832,8.651346699657733
E83009,2026-11-01,4070.878519610851,Forecast,1857.0300646506107,2213.8484549602404,3.53720012314402,3.514045166603556,7.051245289747577
E83009,2026-12-01,3474.1775543772787,Forecast,1584.8304333654432,1889.3471210118355,3.0187246349817967,2.9989636841457705,6.017688319127567
E83009,2027-01-01,3960.646248179088,Forecast,1806.744937949488,2153.9013102296,3.4414189294275963,3.4188909686184124,6.860309898046008
E83010,2026-02-01,4876.78634795995,Forecast,3931.261795663367,945.5245522965828,7.488117706025461,1.5008326226929884,8.988950328718449
E83010,2026-03-01,5170.96860241918,Forecast,4168.407197450648,1002.5614049685315,7.939823233239329,1.5913673094738596,9.531190542713189
E83010,2026-04-01,4537.101275280591,Forecast,3657.435785356371,879.6654899242196,6.966544353059755,1.3962944284511423,8.362838781510897
E83010,2026-05-01,5078.860144026339,Forecast,4094.1569765672384,984.7031674591005,7.798394241080454,1.563020900728731,9.361415141809186
