SUB_ICB_CODE,SUB_ICB_NAME,ICB_CODE,REGION_CODE,REGION_NAME,Avg_GP_FTE,Avg_Staff_FTE,Avg_Total_FTE,Avg_Monthly_Appts,High_Demand,GP_Intensive,High_Seasonality,Seasonal_Swing,Priority_Score,Priority_Flag
16C,NHS North East and North Cumbria ICB - 16C,E54000050,E40000012,North East and Yorkshire,314.02332656242044,303.9067054200545,617.9300319824749,356323.47085990506,False,False,False,195.4636398158276,0,STANDARD
84H,NHS North East and North Cumbria ICB - 84H,E54000050,E40000012,North East and Yorkshire,285.8343344731956,276.62585399819227,562.4601884713878,324337.3136172888,False,False,False,164.454342518207,0,STANDARD
97R,NHS Sussex ICB - 97R,E54000053,E40000005,South East,254.54414810018355,246.3437168184521,500.88786491863567,288832.21934822114,False,False,False,155.36414445754565,0,STANDARD
B2M3M,NHS Coventry and Warwickshire ICB - B2M3M,E54000018,E40000011,Midlands,409.3020895213163,396.11595389950025,805.4180434208165,464436.6479553762,False,False,False,252.72353846529325,0,STANDARD
D4U1Y,NHS Frimley ICB - D4U1Y,E54000034,E40000005,South East,312.347514389319,302.2848814555572,614.6323958448762,354421.92037139344,False,False,False,208.6882463267292,0,STANDARD
36J,NHS West Yorkshire ICB - 36J,E54000054,E40000012,North East and Yorkshire,334.50207568212016,323.72570818084034,658.2277838629606,379560.78588704247,False,False,False,141.04378670690323,0,STANDARD
M2L0M,NHS Shropshire Telford and Wrekin ICB - M2L0M,E54000011,E40000011,Midlands,223.71139282268618,216.50427406755045,440.21566689023666,253846.17389446704,False,False,False,131.19643355710468,0,STANDARD
18C,NHS Herefordshire and Worcestershire ICB - 18C,E54000019,E40000011,Midlands,370.4959171941193,358.5599668617758,729.0558840558951,420403.1356498313,False,False,False,246.8744534163535,0,STANDARD
13T,NHS North East and North Cumbria ICB - 13T,E54000050,E40000012,North East and Yorkshire,224.9998838413345,217.7512548722166,442.75113871355114,255308.22958619706,False,False,False,133.68935405073705,0,STANDARD
15F,NHS West Yorkshire ICB - 15F,E54000054,E40000012,North East and Yorkshire,359.75115005627225,348.1613547041543,707.9125047604266,408211.0072431601,False,False,False,212.4397184541109,0,STANDARD
15A,NHS Buckinghamshire Oxfordshire and Berkshire West ICB - 15A,E54000044,E40000005,South East,222.89915543326504,215.71820383595286,438.61735926921796,252924.52501911446,False,False,False,140.92517448324486,0,STANDARD
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,164.789923072747,159.4810269532887,324.27095002603573,186987.75659376406,False,False,False,91.3074995102578,0,STANDARD
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,110.13166754539161,106.5836497324147,216.71531727780632,124966.82479275185,False,False,False,70.19655510960766,0,STANDARD
02T,NHS West Yorkshire ICB - 02T,E54000054,E40000012,North East and Yorkshire,97.08888779118682,93.96105806697722,191.04994585816402,110167.13267256871,False,False,False,50.557980927180694,0,STANDARD
02X,NHS South Yorkshire ICB - 02X,E54000061,E40000012,North East and Yorkshire,146.85419503184175,142.1231189345094,288.9773139663512,166636.01732045785,False,False,False,85.79570885661116,0,STANDARD
02Y,NHS Humber and North Yorkshire ICB - 02Y,E54000051,E40000012,North East and Yorkshire,133.10588438740348,128.81772586457075,261.92361025197425,151035.7565980664,False,False,False,89.22870422453673,0,STANDARD
03F,NHS Humber and North Yorkshire ICB - 03F,E54000051,E40000012,North East and Yorkshire,113.57103507470426,109.91221409737551,223.48324917207978,128869.48829556629,False,False,False,71.02623813723554,0,STANDARD
03H,NHS Humber and North Yorkshire ICB - 03H,E54000051,E40000012,North East and Yorkshire,83.16661752970383,80.48730968830746,163.6539272180113,94369.47930672819,False,False,False,34.23698924299069,0,STANDARD
03K,NHS Humber and North Yorkshire ICB - 03K,E54000051,E40000012,North East and Yorkshire,92.81870582414808,89.82844490300289,182.647150727151,105321.74084656955,False,False,False,47.99849817040007,0,STANDARD
03L,NHS South Yorkshire ICB - 03L,E54000061,E40000012,North East and Yorkshire,133.422718366836,129.12435267445943,262.54707104129545,151395.26932749836,False,False,False,84.99484191720538,0,STANDARD
03N,NHS South Yorkshire ICB - 03N,E54000061,E40000012,North East and Yorkshire,297.93175218538164,288.3335395425968,586.2652917279784,338064.2998091613,False,False,False,204.69529139788926,0,STANDARD
03R,NHS West Yorkshire ICB - 03R,E54000054,E40000012,North East and Yorkshire,196.90911347002887,190.56546084312933,387.4745743131582,223433.52490293662,False,False,False,117.93304982508744,0,STANDARD
03W,NHS Leicester Leicestershire and Rutland ICB - 03W,E54000015,E40000011,Midlands,171.02007298474473,165.51046544996015,336.53053843470485,194057.13155046586,False,False,False,95.31986821540676,0,STANDARD
04C,NHS Leicester Leicestershire and Rutland ICB - 04C,E54000015,E40000011,Midlands,200.97481702445552,194.50018310076007,395.47500012521556,228046.894291318,False,False,False,86.37424402920215,0,STANDARD
04V,NHS Leicester Leicestershire and Rutland ICB - 04V,E54000015,E40000011,Midlands,175.23578205998737,169.5903606287399,344.82614268872726,198840.7127775995,False,False,False,107.6852720827755,0,STANDARD
05Q,NHS Staffordshire and Stoke-on-Trent ICB - 05Q,E54000010,E40000011,Midlands,91.87070828611807,88.91098819148131,180.7816964775994,104246.0444108452,False,False,False,53.01486096452612,0,STANDARD
05W,NHS Staffordshire and Stoke-on-Trent ICB - 05W,E54000010,E40000011,Midlands,107.61283378597274,104.14596308758632,211.75879687355905,122108.69448281506,False,False,False,70.51527817489455,0,STANDARD
09D,NHS Sussex ICB - 09D,E54000053,E40000005,South East,120.98916735719924,117.09136275178311,238.08053010898234,137286.87139615297,False,False,False,72.7229940130263,0,STANDARD
10Q,NHS Buckinghamshire Oxfordshire and Berkshire West ICB - 10Q,E54000044,E40000005,South East,321.51253204674464,311.1546375716883,632.6671696184329,364821.5009947046,False,False,False,195.11491564083542,0,STANDARD
11M,NHS Gloucestershire ICB - 11M,E54000043,E40000006,South West,330.13860905589894,319.5028156298258,649.6414246857248,374609.5436011372,False,False,False,211.35932927497106,0,STANDARD
11N,NHS Cornwall and The Isles Of Scilly ICB - 11N,E54000036,E40000006,South West,303.91339362474037,294.12247555171285,598.0358691764532,344851.69125056773,False,False,False,195.75124716615358,0,STANDARD
14Y,NHS Buckinghamshire Oxfordshire and Berkshire West ICB - 14Y,E54000044,E40000005,South East,216.74270240173348,209.7600879903322,426.50279039206566,245938.7741948194,False,False,False,115.61315040093348,0,STANDARD
X2C4Y,NHS West Yorkshire ICB - X2C4Y,E54000054,E40000012,North East and Yorkshire,227.6595998856719,220.3252851177906,447.9848850034625,258326.21956418583,False,False,False,119.88301122285901,0,STANDARD
