ICB_CODE,Month,GP_Appointments,Required_GP_FTE,Num_Sub_ICBs
E54000010,2026-02,237055.30285433197,451.53391019872754,6
E54000010,2026-03,238765.44939869404,454.79133218798864,6
E54000010,2026-04,231675.27169795686,441.28623180563216,6
E54000010,2026-05,228823.3041984781,435.8539127590059,6
E54000010,2026-06,225897.38476305408,430.2807328820078,6
E54000010,2026-07,242745.14725771337,462.3717090623112,6
E54000010,2026-08,215227.62342688837,409.95737795597785,6
E54000010,2026-09,245039.8711729105,466.7426117579247,6
E54000010,2026-10,295218.22254703473,562.3204238991137,6
E54000010,2026-11,243789.25089207577,464.3604778896681,6
E54000010,2026-12,221400.7724984472,421.7157571398994,6
E54000010,2027-01,255144.6232489754,485.989758569477,6
E54000011,2026-02,117129.21417127708,223.10326508814683,1
E54000011,2026-03,114297.42212304471,217.70937547246612,1
E54000011,2026-04,115266.70798943313,219.55563426558692,1
E54000011,2026-05,112921.00448614277,215.0876275926529,1
E54000011,2026-06,110869.163206941,211.1793584894114,1
E54000011,2026-07,119490.53945571129,227.60102753468817,1
E54000011,2026-08,106748.27791324188,203.33005316807976,1
E54000011,2026-09,118449.41856152157,225.61794011718393,1
E54000011,2026-10,141751.170866089,270.0022302211219,1
E54000011,2026-11,118635.8111261958,225.97297357370627,1
E54000011,2026-12,107472.57075246038,204.709658576115,1
E54000011,2027-01,126350.47413086431,240.6675697730749,1
E54000013,2026-02,199174.8602755553,379.3806862391529,1
E54000013,2026-03,203624.905953193,387.8569637203676,1
E54000013,2026-04,201289.1447100392,383.40789468578896,1
E54000013,2026-05,196798.20331847543,374.85372060661985,1
E54000013,2026-06,193277.81130805737,368.1482120153474,1
E54000013,2026-07,216801.31269480192,412.95488132343223,1
E54000013,2026-08,186618.5885247238,355.46397814233103,1
E54000013,2026-09,207943.33986412067,396.08255212213464,1
E54000013,2026-10,259717.429122844,494.69986499589334,1
E54000013,2026-11,212227.63643776346,404.24311702431135,1
E54000013,2026-12,190388.26077823734,362.6443062442616,1
E54000013,2027-01,219231.4863720809,417.5837835658684,1
E54000015,2026-02,277153.59408558643,527.9116077820694,3
E54000015,2026-03,280180.1973070185,533.6765662990829,3
E54000015,2026-04,277567.2728965387,528.6995674219785,3
E54000015,2026-05,276791.12204954296,527.2211848562722,3
E54000015,2026-06,274181.0369143897,522.2495941226471,3
E54000015,2026-07,293317.62508064957,558.7002382488563,3
E54000015,2026-08,267253.88705022103,509.055022952802,3
E54000015,2026-09,296042.395239557,563.8902766467752,3
E54000015,2026-10,342409.46897636785,652.2085123359387,3
E54000015,2026-11,293366.4329204479,558.7932055627579,3
E54000015,2026-12,266271.20057615533,507.1832391926768,3
E54000015,2027-01,303019.000939407,577.1790494083942,3
E54000018,2026-02,209169.62383975365,398.4183311233403,1
E54000018,2026-03,208150.80685353724,396.47772734007094,1
E54000018,2026-04,206661.22611707557,393.64043069919154,1
E54000018,2026-05,205668.90600801515,391.7502971581241,1
E54000018,2026-06,205548.62533065423,391.5211911060081,1
E54000018,2026-07,218086.5457408362,415.40294426825943,1
E54000018,2026-08,194444.4916377548,370.3704602623901,1
E54000018,2026-09,218972.7662229064,417.09098328172644,1
